RSOInterestsId,RSOname,RSOInterest1,RSOInterest2,RSOInterest3
1047,Varsity Men’s Glee Club at the University of Illinois,Performance Arts,NA,NA
1048,VAW Global Veterinary Outreach,Agricultural,Community Service & Philanthropy,Education
1049,Velocity Dance,Performance Arts,NA,NA
1050,Venture Capital Association,Business,NA,NA
1051,Veterinarians as One Inclusive Community for Empowerment,Advocacy & Activism,Community Service & Philanthropy,Identity & Culture
1052,Video Game Music Club,Performance Arts,Social & Leisure,NA
1053,Vietnamese Student Association,Identity & Culture,Social & Leisure,~ Affiliation: Asian American Cultural Center (AACC)
1054,Virtual Reality Club at UIUC,Technology,Engineering & Mathematics,NA
1055,Vis-A-Vis Tutoring,Advocacy & Activism,Community Service & Philanthropy,Education
1056,Vitality Dance Team,Performance Arts,NA,NA
1057,Volunteer Illini Projects,Community Service & Philanthropy,NA,NA
1058,weDignify-UIUC,Ideology & Politics,NA,NA
1059,Wesley Foundation Student Fellowship,Community Service & Philanthropy,Faith,Religion & Spirituality
1060,WeXpress UIUC,Health & Wellness,NA,NA
1061,Women and Gender Minorites in Physics,Health & Wellness,Identity & Culture,Life & Physical Sciences
1062,Women Impacting Supply Chain Excellence,Business,International,Technology
1063,Women in Aerospace,Social & Leisure,Technology,Engineering & Mathematics
1064,Women In Architecture-UIUC,Technology,Engineering & Mathematics,NA
1065,Women in Chemical Sciences,Life & Physical Sciences,NA,NA
1066,Women in Civil and Environmental Engineering,Technology,Engineering & Mathematics,NA
1067,Women in Computer Science,Identity & Culture,Social & Leisure,Technology
1068,Women In CyberSecurity Student Chapter,Technology,Engineering & Mathematics,NA
1069,Women in Data Science Urbana-Champaign,Advocacy & Activism,Community Service & Philanthropy,Identity & Culture
1070,Women in Electrical and Computer Engineering,Technology,Engineering & Mathematics,NA
1071,Women in Mechanical Science and Engineering,Social & Leisure,Technology,Engineering & Mathematics
1072,Women in Music,Performance Arts,NA,NA
1073,Women in Nuclear Student Chapter at the University of Illinois,Environmental & Sustainability,Technology,Engineering & Mathematics
1074,Women in Psychology,Education,Pedagogy & Instruction,Social & Behavioral Sciences
1075,Women in Statistics,Advocacy & Activism,Information & Data Sciences,NA
1076,Women of Color,Identity & Culture,NA,NA
1077,Women of Pride,Education,Pedagogy & Instruction,Identity & Culture
1078,Women’s Glee Club,Performance Arts,NA,NA
1079,Women’s Resources Center ( WRC ),Advocacy & Activism,Health & Wellness,Social & Leisure
1080,Women’s Undergraduate Law Society,Law,NA,NA
1081,WPGU-FM 107.1,Media Arts,Performance Arts,NA
1082,Wrapsody Dance Co.,Performance Arts,NA,NA
1083,Wrestling Club at University of Illinois,Athletic & Recreation,Health & Wellness,NA
1084,Writers Organizing Realistic Dialect,Health & Wellness,Performance Arts,Social & Leisure
1085,Written Arts and Media Club,Media Arts,NA,NA
1086,Xtension Chords A Cappella,Performance Arts,NA,NA
1087,Yarn and Unity,Identity & Culture,Social & Leisure,NA
1088,Young Americans for Freedom,Ideology & Politics,NA,NA
1089,"Young Americans for Solidarity, UIUC",Faith,Religion & Spirituality,Ideology & Politics
1090,Young Democratic Socialists of America,Advocacy & Activism,Ideology & Politics,NA
1091,Youth Sports Relief Team,NA,NA,NA
1092,Yu-Gi-Oh Illini,Social & Leisure,NA,NA
1093,Zero2One,Business,Technology,Engineering & Mathematics
1094,Zeta Phi Beta,Community Service & Philanthropy,Social & Leisure,Social Fraternities & Sororities
1095,Zeta Psi Fraternity,Social & Leisure,Social Fraternities & Sororities,NA
1096,Zindaa UIUC,Athletic & Recreation,Identity & Culture,Performance Arts
